id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
rois-001;-1117;-1078;Règne de Saül;Avant la division;Premier roi d’Israël.;année;40 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Fin approximative donnée dans l’index Dates.
rois-002;-1077;-1038;Règne de David — total;Avant la division;Roi d’abord à Hébron, puis sur tout Israël.;année;40 ans (7 ans et demi à Hébron, puis 33 ans à Jérusalem);Règne;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/David/;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Asaph/;"Règne total de David ; le repère séparé de 1070 indique sa royauté sur tout Israël."
rois-003;-1077;-1075;Règne d’Ish-Bosheth;Avant la division;Royauté parallèle à celle de David à Hébron. Les deux bornes sont données dans l’index Dates.;année;;Règne;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;année;;
rois-004;-1070;;David — roi sur tout Israël;Avant la division;Extension de la royauté de David à tout Israël.;année;;Unification;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
rois-005;-1037;-998;Règne de Salomon;Avant la division;Repère chronologique du début de son règne.;année;40 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Salomon/;Période de règne donnée dans la notice Salomon.
rois-006;-997;;Division d’Israël en deux royaumes;Division et royaumes;Deux pouvoirs distincts : Jéroboam au nord et Roboam au sud.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;;
rois-007;-997;-740;Royaume du Nord — dix tribus;Division et royaumes;Israël : période allant de la division à la chute de Samarie.;année;;Royaume;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;année;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;
rois-008;-997;-607;Royaume du Sud — deux tribus;Division et royaumes;Juda : période allant de la division à la chute de Jérusalem.;année;;Royaume;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;année;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;
rois-009;-997;-981;Règne de Roboam;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;17 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Lakish/;"Fin de la période de règne indiquée dans la notice Lakish ; le tableau A6 situe Abia en 980."
rois-010;-997;-977;Règne de Jéroboam Ier;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;22 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yarobam/;"Fin approximative donnée dans la notice Yarobam, no 1 ; A6 situe Nadab vers 976."
rois-011;-980;-978;Règne d’Abia (Abiyam);Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;3 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Abiya/;Période de règne explicitement donnée dans la notice Abiya.
rois-012;-978;-937;Règne d’Asa;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;41 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Asa/;"Le début de 978 est le repère A6 ; la notice Asa compte les années de règne à partir de 977 et indique la fin en 937."
rois-013;-976;-975;Règne de Nadab;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;2 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;Fin explicitement située dans la table chronologique à l’arrivée de Baasa.
rois-014;-975;-953;Règne de Baasa;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;24 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Baasha/;"Fin indiquée dans la notice Baasha ; A6 situe Ela vers 952."
rois-015;-952;-951;Règne d’Ela;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;2 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;Fin explicitement située dans la table chronologique à l’arrivée de Zimri.
rois-016;-951;-951;Règne de Zimri;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;7 jours;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Zimri/;"Sept jours dans la même année approximative ; la barre marque l’année, pas une année entière de règne."
